Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate
CM_020-2,-79.04489,33.82767,30.16,6.5,4.36,57.87,-21.45,-79.04489,33.82767,-136.79534225179805,102.8995796393871,1055.38655815001,2.1261335661311,0.1926512942839871,0.146022692200769,0.0281314606473103,1.331427296520743,2.136071310331615
CM_020-3,-79.04489,33.82767,30.16,6.5,4.36,57.87,-15.72,-79.04489,33.82767,-136.79534225179805,102.8995796393871,1055.38655815001,2.1261335661311,0.1926512942839871,0.146022692200769,0.0281314606473103,1.196452541703389,2.136071310331615
CM_021-1,-111.0953268,32.3504894,32.44,7.0,4.87,67.11,-5.78,-111.0953268,32.3504894,-165.5451492726439,102.0614576559129,1055.3070684024533,3.181657513639962,0.1913853558423666,0.218515996926726,0.0418207618290709,0.761927838420529,2.2189164597785878
CM_021-2,-111.0953268,32.3504894,32.44,7.0,4.87,67.11,-4.15,-111.0953268,32.3504894,-165.5451492726439,102.0614576559129,1055.3070684024533,3.181657513639962,0.1913853558423666,0.218515996926726,0.0418207618290709,0.6180480967120927,2.2189164597785878
CM_021-3,-111.0953268,32.3504894,32.44,7.0,4.87,67.11,-5.71,-111.0953268,32.3504894,-165.5451492726439,102.0614576559129,1055.3070684024533,3.181657513639962,0.1913853558423666,0.218515996926726,0.0418207618290709,0.756636108245848,2.2189164597785878
CM_022-1,-123.2497244,44.550507,15.67,6.25,9.42,94.79,-6.39,-123.24972440000002,44.550507,-93.92757704056272,104.69773375031971,1055.563210879007,4.300751750216445,0.1959074581114881,0.2953753042884096,0.0578662250520496,0.8055008581584001,1.972793119403695
CM_022-2,-123.2497244,44.550507,15.67,6.25,9.42,94.79,-4.79,-123.24972440000002,44.550507,-93.92757704056272,104.69773375031971,1055.563210879007,4.300751750216445,0.1959074581114881,0.2953753042884096,0.0578662250520496,0.6803355134145632,1.972793119403695
CM_022-3,-123.2497244,44.550507,15.67,6.25,9.42,94.79,-9.54,-123.24972440000002,44.550507,-93.92757704056272,104.69773375031971,1055.563210879007,4.300751750216445,0.1959074581114881,0.2953753042884096,0.0578662250520496,0.9795483747040951,1.972793119403695
CM_023-1,-123.27687,44.55596,19.14,6.25,8.31,89.78,-2228.76,-123.27687,44.55596,-2169.4873539087557,217.83477881867884,1073.0090242413894,2.374326895249685,0.3991525355880133,0.1630685912362263,0.065089241666705,3.3480633047801924,3.336357122940155
CM_023-2,-123.27687,44.55596,19.14,6.25,8.31,89.78,-2718.25,-123.27687,44.55596,-2169.4873539087557,217.83477881867884,1073.0090242413894,2.374326895249685,0.3991525355880133,0.1630685912362263,0.065089241666705,3.4342893967038757,3.336357122940155
CM_023-3,-123.27687,44.55596,19.14,6.25,8.31,89.78,-2289.87,-123.27687,44.55596,-2169.4873539087557,217.83477881867884,1073.0090242413894,2.374326895249685,0.3991525355880133,0.1630685912362263,0.065089241666705,3.3598108273681695,3.336357122940155
