Sample_ID,rate_mg_per_L_per_min,rate_mg_per_L_per_h,slope_of_the_regression,R_squared,R_squared_adj,p_value,total_incubation_time_min,Number_Points_In_Respiration_Regression,Number_Points_Removed_Respiration_Regression,DO_Concentration_At_Incubation_Time_Zero
S19S_0077_SED_INC-M,-0.021,-1.23,-0.021,0.997,0.996,0.001,120,7,0,8.61
S19S_0077_SED_INC-U,-0.027,-1.6,-0.027,0.99,0.988,0.001,115,7,0,8.55
S19S_0080_SED_INC-D,-0.017,-1.02,-0.017,0.98,0.977,0.001,116,8,0,8.57
S19S_0080_SED_INC-M,-0.107,-6.42,-0.107,0.994,0.989,0.008,26,3,0,8.31
S19S_0080_SED_INC-U,-0.186,-11.16,-0.186,1,-9999,-9999,15,2,0,7.42
S19S_0081_SED_INC-U,-0.107,-6.42,-0.107,0.988,0.975,0.012,33,3,0,8.38
S19S_0082_SED_INC-D,-0.191,-11.47,-0.191,1,-9999,-9999,27,2,0,7.85
S19S_0082_SED_INC-M,-0.161,-9.65,-0.161,1,-9999,-9999,25,2,0,8.08
S19S_0082_SED_INC-U,-0.466,-27.96,-0.466,1,-9999,-9999,15,2,0,7.02
S19S_0083_SED_INC-D,-0.079,-4.75,-0.079,0.985,0.977,0.007,39,4,0,8.53
S19S_0083_SED_INC-M,-0.121,-7.29,-0.121,0.984,0.967,0.016,28,3,0,8.21
S19S_0083_SED_INC-U,-0.396,-23.77,-0.396,1,-9999,-9999,13,2,0,7.56
S19S_0084_SED_INC-D,-0.018,-1.07,-0.018,0.995,0.994,0.001,112,8,0,8.85
S19S_0084_SED_INC-M,-0.022,-1.33,-0.022,0.99,0.987,0.001,110,6,0,8.56
S19S_0084_SED_INC-U,-0.013,-0.75,-0.013,0.907,0.884,0.002,112,6,0,9.21
S19S_0085_SED_INC-D,-0.022,-1.34,-0.022,0.942,0.934,0.002,128,9,0,8.88
S19S_0085_SED_INC-M,-0.039,-2.35,-0.039,0.999,0.999,0.001,71,5,0,8.72
S19S_0085_SED_INC-U,-0.047,-2.79,-0.047,0.993,0.991,0.002,62,6,0,8.52
S19S_0086_SED_INC-D,-0.077,-4.63,-0.077,0.973,0.959,0.009,41,4,0,8.59
S19S_0086_SED_INC-M,-0.015,-0.93,-0.015,0.992,0.991,0.001,120,7,0,8.63
S19S_0086_SED_INC-U,-0.282,-16.92,-0.282,1,-9999,-9999,15,2,0,8.11
S19S_0087_SED_INC-D,-0.66,-334.8,-0.66,1,-9999,-9999,1,2,0,5.71
S19S_0087_SED_INC-M,-0.193,-11.56,-0.193,1,-9999,-9999,15,2,0,8.3
S19S_0087_SED_INC-U,-0.182,-10.94,-0.182,0.995,0.99,0.013,32,3,0,8.25
S19S_0089_SED_INC-D,-1.225,-350.4,-1.225,1,-9999,-9999,2,2,0,5.58
S19S_0089_SED_INC-M,-0.84,-362.4,-0.84,1,-9999,-9999,2,2,0,5.48
S19S_0089_SED_INC-U,-0.275,-16.51,-0.275,0.993,0.987,0.023,25,3,0,7.53
S19S_0090_SED_INC-D,-0.222,-13.31,-0.222,1,-9999,-9999,17,2,0,7.54
S19S_0090_SED_INC-M,-0.02,-1.19,-0.02,0.999,0.999,0,122,6,0,9.07
S19S_0090_SED_INC-U,-0.025,-1.5,-0.025,0.831,0.797,0.005,90,7,0,8.56
S19S_0097_SED_INC-D,-0.308,-18.48,-0.308,1,-9999,-9999,15,2,0,6.15
S19S_0097_SED_INC-M,-0.146,-8.77,-0.146,0.948,0.896,0.034,31,3,0,7.78
S19S_0097_SED_INC-U,-0.93,-494.4,-0.93,1,-9999,-9999,1,2,0,4.38
S19S_0098_SED_INC-D,-0.126,-7.56,-0.126,0.935,0.87,0.033,26,3,0,7.93
S19S_0098_SED_INC-M,-0.088,-5.3,-0.088,0.964,0.928,0.017,35,3,0,8.41
S19S_0098_SED_INC-U,-0.156,-9.37,-0.156,1,-9999,-9999,21,2,0,7.95
S19S_0099_SED_INC-D,-0.029,-1.75,-0.029,0.996,0.995,0.001,108,8,0,8.48
S19S_0099_SED_INC-M,-0.046,-2.77,-0.046,0.993,0.989,0.003,55,4,0,8.45
S19S_0099_SED_INC-U,-0.023,-1.36,-0.023,0.997,0.996,0.001,115,6,0,8.59
S19S_0100_SED_INC-D,-0.201,-12.08,-0.201,1,-9999,-9999,15,2,0,7.69
S19S_0100_SED_INC-M,-0.045,-2.67,-0.045,0.91,0.881,0.008,62,5,0,7.85
S19S_0100_SED_INC-U,-0.024,-1.43,-0.024,0.984,0.981,0.001,101,7,0,8.21
