Sample_ID,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Respiration_Rate_mg_DO_per_L_per_H_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Respiration_Rate_mg_DO_per_L_per_H_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
100041,-71.1564535604,42.1602584265,-20.022380656658942,24.89685552449123,111.42381428476112,1.5456120824708277,0.1335590427145846,0.1040525041456247,0.0138971528457449,0.0,0.0,7.089873072318936,18.26467402821297,68.66504421398466,0.0,0.1301219669391202,0.0,0.0135395165043696
100042,-70.9971810022,42.2193253114,-25.843359082298218,23.61202819236056,111.04562315808084,1.2316040150510683,0.1262478920029668,0.0829130952942638,0.0104676035003418,0.0,0.0,16.637583925438392,12.087816918849075,67.4658365826863,0.0,0.1105094354500803,0.0,0.0091626793523878
100043,-70.9727784362,42.0354548202,-30.080192018011168,24.710829520284754,111.44227026742412,1.03828702023012,0.1368632281379655,0.0698987577168361,0.0095665696239596,0.0,0.0,16.32910028042049,11.927441178482376,67.14707669103443,0.0,0.1151686670614435,0.0,0.0080501467554988
100044,-71.1604171117,41.9479252379,-26.84940997864708,24.41875190730894,111.28770323812716,0.9168488588294658,0.1340352531506073,0.0617233915069791,0.0082731104059519,0.0,0.0,15.570634251738117,13.583614454227854,67.62609319325247,0.0,0.1127094391892761,0.0,0.0069568088416117
100045,-71.8228774785,42.2403833181,-19.246517402888927,27.626313039236585,112.1079574058178,0.9718852105315764,0.1407295256314224,0.0654285063146282,0.00920772265643,0.0,0.0,6.233415118682354,23.26257958316421,70.0842815058171,0.0,0.145099928475571,0.0,0.0094936715865159
100046,-71.7109029692,42.2303806253,-26.75586538417364,24.51981595168331,111.36936731213848,0.4345784292901834,0.1338345539970102,0.0292563537307682,0.003915511053136,0.0,0.0,17.72996517006754,13.585602532495432,67.51766099577402,0.0,0.1135571857836059,0.0,0.0033222691959557
100047,-71.5686511415,42.0225263081,-22.61847870835385,26.300964522308163,111.60255996970773,1.1463926135399514,0.142540346822869,0.0771765590640242,0.0110007734955816,0.0,0.0,13.661989325909309,17.346695426867637,68.68608428831,0.0,0.1364670311084658,0.0,0.0105320558866345
100048,-71.514113889,42.0398117445,-18.297894728644184,24.48247159678037,111.19652990032236,1.5178633129482832,0.136934840483648,0.1021844228925558,0.0139926076487057,0.0,0.0,6.282372447119207,17.59051701719209,68.73282225809642,0.0,0.1427695203892447,0.0,0.0145888210476219
100049,-71.4685430862,41.973221725,-23.083386527424143,26.22359350184438,111.6863185281973,1.3796406795055691,0.1389310138075598,0.0928791054054374,0.0129037882755165,0.0,0.0,15.193674184194917,17.882525996530546,68.63934188153269,0.0,0.126677804874551,0.0,0.0117657211914728
100050,-71.8354173025,41.3827403282,-18.85326182646964,29.91677190886456,112.8172001057768,1.6118232268489634,0.1616449862557783,0.1085099197242342,0.0175400844824394,0.0,0.0,6.676369625342581,25.80623804866156,70.75177491370712,0.0,0.1798793303809868,0.0,0.0195186916996898
100051,-72.3103969518,41.8353842266,-23.938869622385575,25.575955587975866,111.54372594393412,0.4296974355847661,0.1361589643356962,0.0289277592383159,0.0039387737384414,0.0,0.0,16.522438265398616,16.675442111471014,68.32084435293625,0.0,0.123638271845421,0.0,0.0035765781605857
100052,-72.1645840928,41.6812584889,-20.26037978262505,25.48600493964137,111.3312292308544,1.33699557274426,0.1290973063826992,0.090008184429601,0.0116198141622586,0.0,0.0,6.164836170322601,18.425512083123216,69.1135727790549,0.0,0.1273825687982633,0.0,0.0114654737455104
100053,-71.9521896582,42.0230114781,-48.19037866742163,35.96984892941906,120.97672360890616,0.3898290974328125,0.2253832150223706,0.0262437737364662,0.0059149060990443,0.0,0.0,71.21018094045868,31.20025435174337,60.30613215241111,0.0,0.280007581255873,0.0,0.0073484556069743
100054,-71.9019858951,41.9770770293,-49.30217380968723,35.46944633119925,120.8931291833895,0.5148468351725841,0.224094171129146,0.0346601214229109,0.0077671311815027,0.0,0.0,71.00525274599423,30.797833686398093,59.9551943764085,0.0,0.2791794355120585,0.0,0.0096763931336276
100056,-71.985417363,41.5950399657,-25.154762159743346,25.71957128301961,111.60062687638133,1.316376592898666,0.1406972347686517,0.0886200893763892,0.0124686015202086,0.0,0.0,15.739140587889638,16.263790482363298,68.17811783934309,0.0,0.1211860223353662,0.0,0.0107395161305292
